,Trait code,Trait label,description,cycle,time
1,d1map_generalappearanc,General appearance - 1 MAP,,cycle_1,1_MAP
2,d1map_germination,Germination - 1 MAP,,cycle_1,1_MAP
3,d1map_vigor,Vigor - 1 MAP,,cycle_1,1_MAP
4,d3map_aboutdiseaseres,Susceptibility to disease - 3 MAP,,cycle_1,3_MAP
5,d3map_aboutpestresis,Susceptibility to pests - 3 MAP,,cycle_1,3_MAP
6,d3map_aboutvigor,Vigor - 3 MAP,,cycle_1,3_MAP
7,d6map_branchhabit,Branching habit - 6 MAP,,cycle_1,6_MAP
8,d6map_generalappearanc,General appearance - 6 MAP,,cycle_1,6_MAP
9,d6map_stemappear6map,Stem appearance - 6 MAP,,cycle_1,6_MAP
10,d9map_generalappearanc,General appearance - 9 MAP,,cycle_1,9_MAP
11,d9map_overallbest9map,Overall performance - 9 MAP,,cycle_1,9_MAP
12,d9map_plantheightabove,Plant height - 9 MAP,,cycle_1,9_MAP
13,d9map_suitabilitysoils,Suitability soils - 9 MAP,,cycle_1,9_MAP
14,X12map_boiledroots_choicreplantboil,Choice to replant- 12 MAP,,cycle_1,12_MAP
15,X12map_boiledroots_cookedtaste,Taste of boiled root-12 MAP,,cycle_1,12_MAP
16,X12map_boiledroots_cookingtime,Cooked well boiled root- 12 MAP,,cycle_1,12_MAP
17,X12map_boiledroots_easepeeling,Ease of peeling-12 MAP,,cycle_1,12_MAP
18,X12map_boiledroots_fibrousness,Less fibrous boiled root- 12 MAP,,cycle_1,12_MAP
19,X12map_boiledroots_mealiness,Boiled root mealinenss - 12 MAP,,cycle_1,12_MAP
20,X12map_boiledroots_overalboiledroot,Preferred boiled food - 12 MAP,,cycle_1,12_MAP
21,X12map_boiledroots_overallperf,Overall preferred from planting to boiled food - 12 MAP,,cycle_1,12_MAP
22,X12map_boiledroots_softness,Boiled root softness - 12 MAP,,cycle_1,12_MAP
23,X12map_flour_based_meal_choicreplantflou,Choice to replant- 12 MAP,,cycle_1,12_MAP
24,X12map_flour_based_meal_colorcasspaste,Flour based meal colour - 12 MAP,,cycle_1,12_MAP
25,X12map_flour_based_meal_easedrying,Ease of drying - 12 MAP,,cycle_1,12_MAP
26,X12map_flour_based_meal_easemingling,Ease of mixing flour paste - 12 MAP,,cycle_1,12_MAP
27,X12map_flour_based_meal_overalpastelike,Preferred flour based meal - 12 MAP,,cycle_1,12_MAP
28,X12map_flour_based_meal_overalperfoflour,Overall performance from planting to flour meal - 12 MAP,,cycle_1,12_MAP
29,X12map_flour_based_meal_stickinesspaste,Stickiness of paste -12 MAP,,cycle_1,12_MAP
30,X12map_flour_based_meal_tastecasspaste,Taste of flour meal - 12 MAP,,cycle_1,12_MAP
31,X12map_flour_based_meal_texturepaste,Texture of flour meal - 12 MAP,,cycle_1,12_MAP
32,X12map_harvest_field_diseaseresistanc,Reaction Root Diseases - 12 MAP,,cycle_1,12_MAP
33,X12map_harvest_field_overallrootlike,Overall preferred fresh roots - 12 MAP,,cycle_1,12_MAP
