"package_item_A","package_item_B","package_item_C","overall_best","overall_worst","age","district","gender","longitude","latitude","planting_date","end_date","cycle"
"UG120198","UG120193","NAROCASS 1","B","A",66,"Mityana","Male",31.97802,0.3907683,2019-04-27,2020-04-26,1
"UG120024 ","UG130016 ","MM06/123","C","A",67,"Mityana","Male",31.98413,0.3964193,2019-04-27,2020-04-26,1
"UG120156","UG120180","UG130007","C","A",70,"Mityana","Female",31.9837,0.3983948,2019-04-27,2020-04-26,1
"UG120124","MM16/0707","MM16/1627  ","B","A",23,"Mityana","Female",31.98564,0.3978892,2019-04-29,2020-04-28,1
"UG120180","UG120198","MM16/0707","B","A",60,"Mityana","Male",31.98183,0.3941196,2019-04-27,2020-04-26,1
"NAROCASS 1","MM16/1627  ","UG120124","A","C",64,"Mityana","Male",31.98861,0.3982333,2019-04-28,2020-04-27,1
"UG130007","MM06/123","UG120156","A","C",56,"Mityana","Female",31.98774,0.3974733,2019-04-28,2020-04-27,1
"UG120193","UG120024 ","UG130016 ","A","C",64,"Mityana","Female",31.98811,0.3977733,2019-04-28,2020-04-27,1
"NAROCASS 1","UG130007","UG120180","A","C",44,"Mityana","Male",31.98705,0.4021483,2019-04-29,2020-04-28,1
"MM16/0707","UG120156","UG120124","A","B",25,"Serere","Male",31.98643,0.4033517,2019-04-27,2020-04-26,1
"UG120198","UG120180","MM16/1627  ","A","C",27,"Mityana","Female",32.13826,0.4199717,2019-04-28,2020-04-27,1
"MM16/0707","UG120198","MM06/123","B","C",19,"Mityana","Male",32.16503,0.389325,2019-04-28,2020-04-27,1
"UG120124","UG130016 ","UG120193","B","C",40,"Mityana","Male",32.14586,0.4190433,2019-04-28,2020-04-27,1
"MM16/1627  ","UG120156","NAROCASS 1","C","B",53,"Mityana","Male",32.1468,0.4222175,2019-04-28,2020-04-27,1
"UG120180","UG120024 ","UG130007","C","A",40,"Mityana","Male",32.1466,0.422452,2019-04-28,2020-04-27,1
"UG130016 ","UG120198","UG120180","B","C",25,"Mityana","Male",31.94192,0.5212237,2019-04-29,2020-04-28,1
"UG130007","MM16/1627  ","UG120156","B","A",48,"Mityana","Male",31.95119,0.5177624,2019-04-27,2020-04-26,1
"UG120193","NAROCASS 1","MM16/0707","B","A",34,"Mityana","Male",31.94822,0.5166458,2019-04-27,2020-04-26,1
"UG120124","UG120193","NAROCASS 1","C","B",34,"Mityana","Male",31.95885,0.5310131,2019-04-27,2020-04-26,1
"UG120180","MM16/1627  ","MM06/123","B","A",30,"Mityana","Male",31.94736,0.5302033,2019-04-29,2020-04-28,1
"UG120024 ","UG130007","UG120198","B","A",38,"Mityana","Male",31.93724,0.5292973,2019-04-29,2020-04-28,1
"UG130016 ","MM16/0707","MM06/123","A","C",26,"Mityana","Male",31.94611,0.5312133,2019-04-29,2020-04-28,1
