"id","package_item_A","package_item_B","package_item_C","package_project_name","package_technology","package_coordinator","package_country","registration_surveyid","registration_survey_deviceimei","registration_survey_start","registration_survey_end","registration_district","registration_village","registration_qst101","registration_gender","registration_age","registration_whocontrolstheincome","registration_whocontrolstheincome_oth","registration_farm_geo_longitude","registration_farm_geo_latitude","registration_farm_geo_elevation","registration_farm_geo_gps_precision","d9map_surveyid","d9map_survey_deviceimei","d9map_survey_start","d9map_survey_end","d9map_generalappearanc_pos","d9map_generalappearanc_neg","d9map_plantheightabove_pos","d9map_plantheightabove_neg","d9map_suitabilitysoils_pos","d9map_suitabilitysoils_neg","d9map_overallbest9map_pos","d9map_overallbest9map_neg","d9map_xticbestclon9map","d9map_xticbestclon9map_oth","d9map_farm_geo_longitude","d9map_farm_geo_latitude","d9map_farm_geo_elevation","d9map_farm_geo_gps_precision","d6map_surveyid","d6map_survey_deviceimei","d6map_survey_start","d6map_survey_end","d6map_stemappear6map_pos","d6map_stemappear6map_neg","d6map_branchhabit_pos","d6map_branchhabit_neg","d6map_generalappearanc_pos","d6map_generalappearanc_neg","d6map_overperfclon6map","d6map_overallclone6map","d6map_overallclone6map_oth","d6map_photo6map1","d6map_photo6map2","d6map_farm_geo_longitude","d6map_farm_geo_latitude","d6map_farm_geo_elevation","d6map_farm_geo_gps_precision","d3map_surveyid","d3map_survey_deviceimei","d3map_survey_start","d3map_survey_end","d3map_aboutpestresis_pos","d3map_aboutpestresis_neg","d3map_aboutdiseaseres_pos","d3map_aboutdiseaseres_neg","d3map_aboutvigor_pos","d3map_aboutvigor_neg","d3map_overallperfclone","d3map_cloneperformance","d3map_cloneperformance_oth","d3map_farm_geo_longitude","d3map_farm_geo_latitude","d3map_farm_geo_elevation","d3map_farm_geo_gps_precision","d1map_surveyid","d1map_survey_deviceimei","d1map_survey_start","d1map_survey_end","d1map_plantingdate","d1map_fieldslope","d1map_soilquality","d1map_soiltexture","d1map_germination_pos","d1map_germination_neg","d1map_reasongermworst","d1map_reasongermbest","d1map_vigor_pos","d1map_vigor_neg","d1map_reasonvigorbest","d1map_reasonvigorworst","d1map_generalappearanc_pos","d1map_generalappearanc_neg","d1map_reasongappbest","d1map_reasongappworst","d1map_useimpvar","d1map_acessextension","d1map_accessplantmat","d1map_stemreplacement","d1map_farm_geo_longitude","d1map_farm_geo_latitude","d1map_farm_geo_elevation","d1map_farm_geo_gps_precision","X12map_harvest_field_surveyid","X12map_harvest_field_survey_deviceimei","X12map_harvest_field_survey_start","X12map_harvest_field_qst101","X12map_harvest_field_stemquality_pos","X12map_harvest_field_stemquality_neg","X12map_harvest_field_rootshapes_pos","X12map_harvest_field_rootshapes_neg","X12map_harvest_field_rootofsize_pos","X12map_harvest_field_rootofsize_neg","X12map_harvest_field_rootyieldcass_pos","X12map_harvest_field_rootyieldcass_neg","X12map_harvest_field_diseaseresistanc_pos","X12map_harvest_field_diseaseresistanc_neg","X12map_harvest_field_rootcotcolor_pos","X12map_harvest_field_rootcotcolor_neg","X12map_harvest_field_overallrootlike_pos","X12map_harvest_field_overallrootlike_neg","X12map_harvest_field_overalperfharvst_pos","X12map_harvest_field_overalperfharvst_neg","X12map_harvest_field_overallscoreharv","X12map_harvest_field_perf_perfmlocalharvst_1","X12map_harvest_field_perf_perfmlocalharvst_2","X12map_harvest_field_perf_perfmlocalharvst_3","X12map_harvest_field_survey_end","X12map_harvest_field_farm_geo_longitude","X12map_harvest_field_farm_geo_latitude","X12map_harvest_field_farm_geo_elevation","X12map_harvest_field_farm_geo_gps_precision","X12map_flour_based_meal_surveyid","X12map_flour_based_meal_survey_deviceimei","X12map_flour_based_meal_survey_start","X12map_flour_based_meal_qst101","X12map_flour_based_meal_easedrying_pos","X12map_flour_based_meal_easedrying_neg","X12map_flour_based_meal_easemingling_pos","X12map_flour_based_meal_easemingling_neg","X12map_flour_based_meal_stickinesspaste_pos","X12map_flour_based_meal_stickinesspaste_neg","X12map_flour_based_meal_tastecasspaste_pos","X12map_flour_based_meal_tastecasspaste_neg","X12map_flour_based_meal_texturepaste_pos","X12map_flour_based_meal_texturepaste_neg","X12map_flour_based_meal_colorcasspaste_pos","X12map_flour_based_meal_colorcasspaste_neg","X12map_flour_based_meal_overalpastelike_pos","X12map_flour_based_meal_overalpastelike_neg","X12map_flour_based_meal_overalperfoflour_pos","X12map_flour_based_meal_overalperfoflour_neg","X12map_flour_based_meal_scoreperfomflour","X12map_flour_based_meal_perf_overalperflocal_1","X12map_flour_based_meal_perf_overalperflocal_2","X12map_flour_based_meal_perf_overalperflocal_3","X12map_flour_based_meal_choicreplantflou_pos","X12map_flour_based_meal_choicreplantflou_neg","X12map_flour_based_meal_survey_end","X12map_boiledroots_surveyid","X12map_boiledroots_survey_deviceimei","X12map_boiledroots_survey_start","X12map_boiledroots_qst101","X12map_boiledroots_easepeeling_pos","X12map_boiledroots_easepeeling_neg","X12map_boiledroots_cookingtime_pos","X12map_boiledroots_cookingtime_neg","X12map_boiledroots_mealiness_pos","X12map_boiledroots_mealiness_neg","X12map_boiledroots_cookedtaste_pos","X12map_boiledroots_cookedtaste_neg","X12map_boiledroots_softness_pos","X12map_boiledroots_softness_neg","X12map_boiledroots_fibrousness_pos","X12map_boiledroots_fibrousness_neg","X12map_boiledroots_overalboiledroot_pos","X12map_boiledroots_overalboiledroot_neg","X12map_boiledroots_overallperf_pos","X12map_boiledroots_overallperf_neg","X12map_boiledroots_scoreperformboil","X12map_boiledroots_perf_performlocal_1","X12map_boiledroots_perf_performlocal_2","X12map_boiledroots_perf_performlocal_3","X12map_boiledroots_choicreplantboil_pos","X12map_boiledroots_choicreplantboil_neg","X12map_boiledroots_survey_end"
1,"UG120198","UG120193","NAROCASS 1","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","06335bcb-97da-4e30-80d8-8ecbe69bb7ff",359027091121525,"2019-05-09 11:05:21","2019-05-10 07:21:50","Mitiyana","Katiko",1,"Male",66,"Male",NA,31.97802,0.3907683,1160.1,4.3,"50d4f4ac-4c7a-4376-a567-52dcc5df3c38",357828103081348,"2020-04-17 12:31:49","2020-04-17 15:56:05","B","A","B","A","B","A","B","A","Suitability To Soils","Farmer has managed the garden free from weeds",31.97798,0.390835,1182.6,4.9,"39b2b2e4-6ada-475e-9de1-ddd7ecd42f2e",357828103081348,"2019-11-13 12:55:44","2020-02-26 10:59:20","C","B","C","B","C","B","C","Plant Branching Habit","The garden properly wedded.","1573639342833.jpg","1582703914612.jpg",31.97807,0.3907683,1148.6,4.8,"d1ed5b3b-902d-45b1-8323-2d979535673c",357828103081348,"2019-09-04 13:18:28","2019-09-06 23:21:43","B","A","C","B","C","A","Option C","Disease Resistance","Candidate A didn`t germinate well.",31.97778,0.3907483,1159.1,4.8,"280f90e6-b5c6-42a3-b194-97505508ba47","352782100396305","2019-06-24 14:00:22","2019-06-24 16:49:30","2019-04-27","Average","Regular","Sandy Loam","C","A","High germination percentage.","Low germination percentage. Hi","C","B","Fertility variation.","Plants look weak.","C","B","Plants vigorous and have many stems.","Plants appear weak.",2,1,2,"Two To Three Years",31.97795,0.3907367,1153.2,4.7,"c2270484-5853-435f-9503-1afb5744d278","357828103081348","2020-06-10 18:32:12",1,"B","C","B","A","B","A","B","A","B","A","A","B","B","A","B","A",2,"Worst","Better","Worst","2020-06-10 18:37:08",31.97822,0.3907533,1162.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26fa0028-4446-4bdd-a533-374f2df32fde","33dacd938494c498","2020-06-01 14:00:48",1,"B","C","B","C","B","C","C","B","B","C","B","C","B","C","B","C",1,"Worst","Better","Worst","B","C","2020-06-03 07:29:25"
2,"UG120024 ","UG130016 ","MM06/123","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","9704a60c-3f57-457c-ab70-ba08a4e51692",351856086769908,"2019-05-08 23:51:32","2019-05-10 07:08:16","Mityana","Katiko",2,"Male",67,"Male",NA,31.98413,0.3964193,1172,4.551,"dfdbfe48-9405-4ff0-8a6a-7fe4d2738cc5",357828103081348,"2020-04-17 12:59:12","2020-04-17 15:56:33","B","A","C","B","C","A","B","A","Suitability To Soils","Management good.",31.98409,0.39627,1179.9,2.7,"8700e4df-9d8e-4046-a85e-3bb4507263c7",357828103081348,"2019-11-13 13:45:58","2020-02-26 11:33:26","C","B","C","A","C","B","C","Stem Appearance","The soils look supportive.","1582705990996.jpg","1582706003443.jpg",31.9841,0.3964233,1185.9,4.6,"a7669ab4-4e9f-4bb9-b225-72baf9ae89a3",357828103081348,"2019-09-04 14:26:33","2019-09-06 23:22:48","A","B","C","B","A","B","Option A","Disease Resistance","Farmer has properly weeded.",31.98401,0.396415,1176.9,4.8,"3c047a12-957b-4e37-88d7-5f9fa21abbbc","352782100396305","2019-06-24 15:39:48","2019-06-24 16:50:40","2019-04-27","Average","Regular","Loam","B","A","Number germinated high.","Number germinated low.","C","A","Grows fast and taller.","Few stems and weak.","C","A","Fast and nice growth.","Poor germination and slow growth.",2,1,2,"Above Five Years",31.98401,0.39635,1134.1,5,"37e23ca9-4b2e-47c1-b67d-0405c23eab6f","33dacd938494c498","2020-06-02 17:39:12",2,"A","B","C","A","C","B","C","B","C","B","B","A","C","A","C","A",1,"Worst","Worst","Better","2020-06-02 20:48:35",31.98413,0.3963938,1178.633,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ea4fab41-faa5-42cd-a5b9-c479d3e478df","33dacd938494c498","2020-06-01 15:23:10",2,"A","B","B","A","B","A","B","A","B","A","B","A","B","A","C","A",1,"Worst","Better","Better","C","A","2020-06-04 07:08:31"
3,"UG120156","UG120180","UG130007","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","3bd46449-ebe3-48c2-9b27-b544329fb3d4",351856086769908,"2019-05-09 00:22:25","2019-05-10 07:08:34","Mityana","Katiko",3,"Female",70,"Female",NA,31.9837,0.3983948,1171,4.551,"c0de07d1-efb3-4b2d-a0cf-9daf3c32262a",357828103081348,"2020-04-17 13:14:56","2020-04-17 15:56:42","C","A","C","A","C","A","C","A","Suitability To Soils","Fairly managed.",31.98367,0.3983167,1186.7,2.9,"4ac95d48-f4fe-4e14-9d3f-d9af50322244",357828103081348,"2019-11-13 14:03:05","2020-02-26 11:30:34","A","C","A","C","A","B","A","Stem Appearance","Weeding not properly done and germination was not good.","1582705797334.jpg","1582705830550.jpg",31.98361,0.398385,1165.7,4.6,"7f66decf-9e20-4c41-8453-21c2f8d3c783",357828103081348,"2019-09-04 15:03:15","2019-09-06 19:12:08","A","B","C","B","A","C","Option A","Disease Resistance","Farmer has Miss managed the garden, with poultry destroying the  garden.",31.98361,0.39839,1155.1,5,"075c3924-c1eb-4c89-8339-51c64511a412","356874101587986","2019-06-24 16:26:13","2019-06-25 08:21:29","2019-04-27","Average","Regular","Sandy Loam","B","A","High germination percentage","Few plants germinated","B","A","Leaves are vigorus","Weak and miserable","B","A","Many leaves on plants","Weak and few",2,2,2,"Above Five Years",31.98363,0.398355,1156.7,4.6,"c7fe7c29-6899-489a-9245-38a3a0afc8aa","33dacd938494c498","2020-06-02 12:26:26",3,"C","A","C","A","C","A","C","A","C","A","C","A","C","A","C","A",1,"Worst","Worst","Better","2020-06-02 20:42:39",31.98362,0.3983609,1161.375,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8c2b1db7-9b14-471b-b4e5-fb8b107a094c","33dacd938494c498","2020-06-02 16:17:11",3,"A","C","B","A","B","A","B","A","B","A","C","A","C","A","C","A",1,"Worst","Better","Better","C","A","2020-06-04 07:31:37"
4,"UG120124","MM16/0707","MM16/1627  ","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","57057e87-ef52-461e-8e31-24008b2128d5",351856086769908,"2019-05-09 00:56:33","2019-05-10 07:10:14","Mityana","Katikwe",4,"Female",23,"Female",NA,31.98564,0.3978892,1180,4.551,"ba159ea8-16d6-4f91-a229-283e2759b6d2",357828103081348,"2020-04-17 13:37:34","2020-04-17 15:56:51","A","B","C","B","A","B","A","B","Suitability To Soils","Garden fairly managed.",31.98558,0.397845,1190.4,4.7,"e29141bf-6483-4d00-8979-652bc96ad84a",357828103081348,"2019-11-13 14:15:12","2020-02-26 11:42:01","C","B","C","B","C","B","C","Stem Appearance","Soils very supportive and weeding done.","1582706097522.jpg","1582706122180.jpg",31.98556,0.397865,1187.3,3.4,"e471aaa2-d14a-4071-b142-d7b9c0d8da27",357828103081348,"2019-09-04 14:47:07","2019-09-06 22:07:52","A","B","C","B","C","A","Option C","Plant Vigor","Pigs have encroached on the garden.",31.98544,0.3977933,1168.8,4.9,"86b0a96a-850f-41db-9c67-06bc3eefee8c","663e2f8ebb4882c3","2019-06-24 16:05:46","2019-06-25 08:41:18","2019-04-29","Average","Good","Loamy","C","A","There was more moisture on that side of the field.","The stems rotted in the soil.","C","A","That side of the field is more fertile.","Less fertility.","C","A","Fertile soils.","Less fertile.",1,1,1,"Above Five Years",31.98555,0.3977918,1179.885,4.288,"0fe1378f-6b05-47ac-856e-0dfa100e6eeb","663e2f8ebb4882c3","2020-06-02 11:17:38",4,"B","A","B","C","B","A","B","A","B","A","A","B","B","A","B","A",2,"Worst","Better","Better","2020-06-02 21:27:16",31.98552,0.3979127,1157.968,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"255ac378-7adf-40bc-b683-baac490057cb","663e2f8ebb4882c3","2020-06-02 11:29:40",4,"C","A","A","B","C","B","A","B","A","B","C","A","C","B","B","A",1,"Worst","Worst","Better","B","A","2020-06-04 08:53:58"
5,"UG120180","UG120198","MM16/0707","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","53fed081-3e2d-48e9-be86-5ffdea65947f",351856086769908,"2019-05-09 01:33:32","2019-05-10 07:10:28","Mityana","Katikwe",5,"Male",60,"Male",NA,31.98183,0.3941196,1154,4.551,"6490ba15-d944-4ec3-96c0-00fedc4b815a",357828103081348,"2020-04-17 12:48:07","2020-04-17 15:56:24","B","A","B","A","B","A","B","A","Suitability To Soils","Garden properly weeded",31.98177,0.3940483,1160.6,4.7,"58382466-b2bc-41ad-b363-e177d8add75d",357828103081348,"2019-11-13 13:26:39","2020-02-26 11:27:01","C","A","C","A","C","A","C","Plant Branching Habit","The garden not properly wedded.","1582705568920.jpg","1582705618092.jpg",31.98175,0.39406,1174.5,4.6,"59383ec1-e57c-4de4-97d5-51c3466d8d09",357828103081348,"2019-09-04 13:53:03","2019-09-06 23:22:19","A","C","B","A","C","A","Option C","Disease Resistance","Farmer is managing well the garden.",31.98165,0.3940117,1160.7,4.4,"85c4d335-d4cf-45e0-805c-b52e428278d0","352782100396305","2019-06-24 15:19:26","2019-06-24 16:51:09","2019-04-27","Average","Good","Loam","C","A","Germination number high.","Germination low.","C","A","Number of stems.","Weak stems.","C","B","Stems strong.","Stems weak.",2,2,1,"After A Year",31.98178,0.3940983,1176.9,4.8,"ee1958c5-e57b-4b92-a776-e6c88b40f859","663e2f8ebb4882c3","2020-06-02 09:58:01",5,"B","A","C","A","C","B","C","A","B","C","A","C","C","A","B","A",1,"Worst","Worst","Better","2020-06-02 21:24:00",31.98176,0.3941,1164.565,10.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23bcbadc-135a-49d0-807c-5f08c8f7e12b","663e2f8ebb4882c3","2020-06-02 10:16:52",5,"A","B","B","C","B","C","B","C","A","C","B","C","B","C","B","C",1,"Better","Better","Worst","B","C","2020-06-04 08:54:15"
6,"NAROCASS 1","MM16/1627  ","UG120124","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","6b66690f-c8f1-4dc6-b8fc-eaf1295eaaeb",359027091121525,"2019-05-09 12:20:50","2019-05-10 07:21:09","Mitiyana","Katiko",6,"Male",64,"Male",NA,31.98861,0.3982333,1194.6,4.6,"ca2b2a90-3e74-41e4-a20c-aaa33d5dbc98",357828103081348,"2020-04-17 14:15:55","2020-04-17 15:57:30","A","B","A","B","A","B","A","B","Suitability To Soils","He has all time weeded.",31.9886,0.398225,1192,4.8,"0b9f5298-abfe-4064-8222-79ca8772c46d",357828103081348,"2019-11-13 15:04:35","2020-02-26 11:45:15","A","C","A","C","A","C","A","Stem Appearance","Garden well looked after.","1582706699619.jpg","1582706711285.jpg",31.98863,0.3983083,1183.9,4.2,"98dab122-02bb-4180-ac19-fd45994fc03c",357828103081348,"2019-09-04 15:50:40","2019-09-06 19:12:27","C","B","B","A","A","C","Option A","Plant Vigor","The soils are un fertile .",31.9886,0.3982517,1184.9,4.8,"fab2a0e9-9de0-45f7-8f1d-8ab4e9ecf262","359027091121525","2019-06-24 16:15:06","2019-06-25 08:24:54","2019-04-28","Flat","Good","Loamy","A","B","Many germinated","Some are still germinating","A","B","It is growing with energy","It is still growing slowly","A","B","It looks like fertilizer was applied. Grows fast","It looks stunted",1,1,1,"Above Five Years",31.9886,0.3981933,1172.4,3.4,"a5131202-0166-4b40-9353-6547c2a47baa","33dacd938494c498","2020-06-02 09:37:50",6,"A","B","A","C","A","C","A","C","A","C","C","A","A","C","A","C",1,"Worst","Worst","Worst","2020-06-02 20:24:45",31.98865,0.3982373,1174.267,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"347b469a-66ec-4efd-9f3f-9372fbb27d10","33dacd938494c498","2020-06-02 10:25:26",6,"B","A","B","C","B","A","B","C","B","A","B","C","B","C","B","C",3,"Worst","Better","Worst","A","C","2020-06-04 06:23:14"
7,"UG130007","MM06/123","UG120156","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","7c0bf7c6-d772-48b4-ba7f-db84a4c10b82",359027091121525,"2019-05-09 11:51:04","2019-05-10 07:21:37","Mitiyana","Katiko",7,"Female",56,"Female",NA,31.98774,0.3974733,1182.9,4.2,"5fe80738-0844-4dbe-950a-ce23f9603858",357828103081348,"2020-04-17 14:06:38","2020-04-17 15:57:15","B","A","B","A","B","A","B","A","Suitability To Soils","Farmer fairly managed.",31.98781,0.3974867,1193.7,2.5,"95fb3b80-e618-4c3f-b5ea-9634cc1ad7fe",357828103081348,"2019-11-13 14:49:36","2020-02-26 09:19:39","A","C","A","C","A","C","A","Stem Appearance","Soils not good.","1573646023119.jpg","1573646048591.jpg",31.98786,0.3975183,1187.3,4,"4d34d4e0-1849-4d42-ba5d-7534f4dd7c14",357828103081348,"2019-09-04 15:25:10","2019-09-06 19:12:17","A","C","B","A","C","A","Option C","Disease Resistance","domestic goats have eaten some cassava.",31.98778,0.3975333,1170.9,4.9,"9e1eeffe-0c46-4da6-acd5-f0f9bab8ab68","359027091121525","2019-06-24 16:24:28","2019-06-25 08:24:24","2019-04-28","Flat","Good","Loamy","C","A","The stems were small but they all germinated","Some didn`t germinate","B","A","Has nice looking leaves","It is growing slowly","B","A","Has healthy leaves","The germinated with weakness",2,1,1,"Above Five Years",31.98783,0.39751,1179.6,3.4,"961a13d0-6771-4387-b3f8-df0cf5e8834d","33dacd938494c498","2020-06-02 11:35:17",7,"A","C","A","C","A","C","A","C","A","C","B","A","A","C","A","C",1,"Better","Worst","Worst","2020-06-02 20:29:26",31.98775,0.397496,1177.481,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f82765e8-92f1-4646-b986-308d945df28b","33dacd938494c498","2020-06-02 15:18:06",7,"B","A","B","C","B","C","B","C","B","C","B","C","B","C","B","C",2,"Worst","Better","Worst","B","C","2020-06-04 21:11:46"
8,"UG120193","UG120024 ","UG130016 ","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","6a4cd956-c8b0-4b30-b876-d069b2ae5e0c",359027091121525,"2019-05-09 12:05:23","2019-05-10 07:21:24","Mitiyana","Katiko",8,"Female",64,"Female",NA,31.98811,0.3977733,1189.5,4.8,"1e08c8d2-c51d-47b5-b6c4-eb91a3ad58d8",357828103081348,"2020-04-17 14:10:28","2020-04-17 15:57:22","A","B","A","C","A","C","A","C","Plant Height","Farmer has properly managed the garden.",31.98815,0.397755,1192.6,3.8,"4b80ef51-62fd-401b-acdb-afe0c44121ba",357828103081348,"2019-11-13 14:56:23","2020-02-26 11:43:41","B","C","A","C","B","A","B","Plant Branching Habit","Germination was not good and soil not good.","1582706606651.jpg","1582706618600.jpg",31.98815,0.3978883,1191.7,3.5,"c518c609-a402-42b2-9176-921d630d90bb",357828103081348,"2019-09-04 15:38:43","2019-09-06 19:12:22","A","C","A","C","A","B","Option A","Disease Resistance","The soils are poor and may not support cassava.",31.98806,0.39781,1179,4.9,"e8a36814-a8fe-4f9a-ac29-5ad4edaa4d98","359027091121525","2019-06-24 16:02:18","2019-06-25 08:26:04","2019-04-28","Flat","Good","Loamy","C","B","They germinated many","A few germinated","A","B","It is fast","It is growing slowly","A","B","They look healthy","It doesn`t look healthy",1,2,1,"Two To Three Years",31.98818,0.3977383,1181.4,4.7,"9821b138-99c0-481d-8fa7-889267268fe9","33dacd938494c498","2020-06-02 10:51:30",8,"A","C","A","C","A","C","A","C","B","A","A","B","A","C","A","C",2,"Worst","Worst","Worst","2020-06-02 20:28:10",31.98814,0.3977475,1181.111,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400f0447-7ac4-4069-94fe-7de3eb0a44fb","33dacd938494c498","2020-06-02 14:39:10",8,"A","B","A","B","A","B","A","B","A","B","A","B","A","B","A","B",1,"Better","Worst","Better","A","C","2020-06-03 07:33:06"
9,"NAROCASS 1","UG130007","UG120180","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","b83b8a68-0dde-4560-aa73-aca208472753",359027091121525,"2019-05-09 13:29:12","2019-05-10 07:20:49","Mitiyana","Katiko",9,"Male",44,"Male",NA,31.98705,0.4021483,1174.1,4.6,"9d4baaa7-66fd-4e6c-822a-2ca4b2da56dd",357828103081348,"2020-04-17 13:56:03","2020-04-17 15:57:07","A","B","A","B","A","B","A","B","Suitability To Soils","Management good.",31.98707,0.4021133,1177.1,3,"56d3d33f-797e-45fe-82ca-c655b0be4257",357828103081348,"2019-11-13 14:39:27","2020-02-26 09:19:34","A","B","A","B","A","B","A","Stem Appearance","Garden well looked after and soil s fertile.","1573645390778.jpg","1573645417807.jpg",31.98706,0.4021817,1155.6,4.5,"5d9adcd2-7bf5-4ce2-b4bd-3da10baf8ee6",357828103081348,"2019-09-04 16:24:27","2019-09-06 19:12:39","A","B","A","B","A","B","Option A","Disease Resistance","Garden encouraging.",31.98688,0.4021567,1188.1,4.1,"c3b07542-31c8-45b3-92c2-d8bd47e57040","4adc8a7c22151086","2019-06-24 15:32:53","2019-06-25 08:21:48","2019-04-29","Average","Good","Loam","A","B","It is growing fast","It growing slowly","A","B","It is not growing with energy. The plants are big","It is growing slowly","A","B","It seem the soil is favourable for it","It looks sickly",1,2,1,"After A Year",31.98701,0.4022053,1176.173,3.216,"4060f989-39d0-4e93-a8a3-e04a018cb757","663e2f8ebb4882c3","2020-06-02 14:39:45",9,"A","C","B","C","A","C","A","C","A","B","A","C","A","C","A","C",1,"Better","Worst","Worst","2020-06-02 21:27:58",31.98702,0.4021536,1177.156,3.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4a9723bf-99a8-4438-9ab1-3da9e3876239","663e2f8ebb4882c3","2020-06-02 14:55:13",9,"B","C","A","C","B","C","A","C","A","C","A","C","A","C","A","C",1,"Worst","Worst","Worst","A","C","2020-06-04 08:53:08"
10,"MM16/0707","UG120156","UG120124","NaCRRI02","Nextgen IITA clones","Robert Kawuki","UG","07413b10-d9e9-4168-95c0-8373d070c306",359027091121525,"2019-05-09 13:51:03","2019-05-10 07:20:30","Serere","Katiko",10,"Male",25,"Male","None",31.98643,0.4033517,1161,5,"3f8a0bee-3d30-4118-a155-8c97e03c25e1",357828103081348,"2020-04-17 13:46:50","2020-04-17 15:56:59","A","B","A","B","A","B","A","B","Suitability To Soils","Farmer had not weeded.",31.98645,0.4032683,1160.4,4.4,"6bc65f67-be7e-4f4e-81ff-0e16f4113136",357828103081348,"2019-11-13 14:25:46","2020-02-26 11:42:54","C","B","C","B","C","A","A","Stem Appearance","Garden not wedded.","1582706561466.jpg","1582706571791.jpg",31.98643,0.403265,1167.9,3.8,"5a40cf47-3de3-455d-851a-50b5c2acd490",357828103081348,"2019-09-04 16:09:52","2019-09-06 19:12:34","C","A","C","B","C","B","Option C","Disease Resistance","Good garden.",31.98642,0.4033367,1166.2,4.7,"a05a54b6-f4d7-46ea-9643-a8cd31146c68","352131098143909","2019-06-20 14:37:57","2019-06-20 20:35:25","2019-04-27","Flat","Regular","Sandy Loam","B","C","Fast grows","Slow grows n","B","C","Nice looking leaves and healthy","Short and slow grows ni","B","C","Fast grows and nice looking leaves","Slow grows",1,1,1,"After A Year",33.54752,1.509193,1117.7,2.5,"a5915823-7b16-4d5c-aac5-865c456a29bb","663e2f8ebb4882c3","2020-06-02 14:08:00",10,"A","B","A","B","A","B","A","B","C","A","C","B","A","B","A","B",1,"Worst","Worst","Worst","2020-06-02 21:27:42",31.98645,0.403354,1154.962,4.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4a5011f8-00b8-447d-b0bf-0f9fe36479ef","663e2f8ebb4882c3","2020-06-02 14:33:03",10,"C","B","C","A","C","A","B","A","C","A","B","C","B","A","B","A",2,"Worst","Better","Worst","B","A","2020-06-04 08:53:35"
