"","varaible","description","unit"
"1","max_24t","",""
"2","max_dt","",""
"3","mean_24t","",""
"4","mean_dt","",""
"5","mean_nt","",""
"6","min_24t","",""
"7","min_nt","",""
"8","rainfall","",""
"9","rhum_06","",""
"10","rhum_09","",""
"11","rhum_12","",""
"12","rhum_15","",""
"13","rhum_18","",""
"14","srf","",""
"15","rainfall_total","",""
"16","MLDS","",""
"17","MLWS","",""
"18","R10mm","",""
"19","R20mm","",""
"20","Rx1day","",""
"21","Rx5day","",""
"22","R95p","",""
"23","R99p","",""
"24","SDII","",""
"25","DTR","",""
"26","SU","",""
"27","WSDI","",""
"28","CSDI","",""
"29","T10p","",""
"30","T90p","",""
