"","Estimate","Std. Error","z value","Pr(>|z|)"
"UG130007",0.316,0.584,0.541,0.588
"UG120124",0.072,0.531,0.135,0.893
"UGC14170",0.047,0.402,0.117,0.907
"NAROCASS 1",0,NA,NA,NA
"UG120198",-0.019,0.528,-0.037,0.971
"UG120193",-0.101,0.52,-0.195,0.845
"UG15F170P507",-0.425,0.378,-1.126,0.26
"UG110164",-0.471,0.384,-1.228,0.219
"MM16/0707",-0.615,0.568,-1.083,0.279
"UG130016 ",-0.644,0.56,-1.15,0.25
"UG15F140P003",-0.734,0.387,-1.894,0.058
"UG15F302P513",-0.764,0.422,-1.811,0.07
"MM16/1627  ",-0.806,0.566,-1.424,0.155
"UG15F177P502",-0.849,0.378,-2.247,0.025
"UG15FF265P001",-0.881,0.399,-2.206,0.027
"MM20180054",-1.002,0.397,-2.525,0.012
"MM06/123",-1.295,0.596,-2.174,0.03
"UG120156",-1.518,0.597,-2.541,0.011
"UG120180",-1.723,0.592,-2.913,0.004
"UG15F106P002",-1.758,0.421,-4.175,0
"UG120024 ",-2.52,0.696,-3.62,0
