"","Estimate","Std. Error","z value","Pr(>|z|)"
"UG130007",1.51,0.816,1.851,0.064
"UG120198",0.032,0.576,0.056,0.955
"NAROCASS 1",0,NA,NA,NA
"UG120193",-0.079,0.575,-0.137,0.891
"UG120124",-0.126,0.608,-0.207,0.836
"UG110164",-0.504,0.671,-0.752,0.452
"MM16/0707",-0.682,0.613,-1.112,0.266
"UG130016 ",-0.689,0.621,-1.108,0.268
"UG15F302P513",-0.933,0.679,-1.373,0.17
"UG15F140P003",-0.941,0.654,-1.438,0.151
"UG15F170P507",-1.005,0.711,-1.414,0.157
"MM16/1627  ",-1.043,0.641,-1.626,0.104
"UG15F177P502",-1.078,0.715,-1.509,0.131
"MM06/123",-1.369,0.672,-2.037,0.042
"UGC14170",-1.498,0.7,-2.139,0.032
"UG15F106P002",-1.615,0.67,-2.41,0.016
"UG120180",-1.771,0.655,-2.704,0.007
"UG15FF265P001",-1.819,0.685,-2.655,0.008
"MM20180054",-1.84,0.707,-2.602,0.009
"UG120156",-2.189,0.718,-3.048,0.002
"UG120024 ",-2.447,0.75,-3.262,0.001
