"traits","Top_1","Top_2","Top_3"
"Susceptibility to diseases","MM16/1627  ","UG110164","MM20180054"
"Susceptibility to pests","UG110164",NA,NA
"Vigor","UG110164","UG15F140P003","MM16/1627  "
"Branching habit",NA,NA,NA
"General appearance",NA,NA,NA
"Overall performance ","UG15FF265P001","UG15F140P003",NA
"Plant height ","UG15FF265P001","UG15F140P003","UG15F302P513"
"Suitability soils ","UG15FF265P001",NA,NA
"Boiled root mealinenss","UG110164","UGC14170","UG15F302P513"
"Boiled root softness","UG110164",NA,NA
"Ease of drying","UG120198","UG120156","UG120180"
"Ease of mixing flour paste",NA,NA,NA
"Flour based meal colour",NA,NA,NA
"Fresh root shape",NA,NA,NA
"Fresh root size",NA,NA,NA
"Fresh root yield",NA,NA,NA
"Less fibrous boiled root","UG110164","UG120193",NA
"Overall performance from planting to flour meal",NA,NA,NA
"Overall performance harvest",NA,NA,NA
"Overall preferred fresh roots",NA,NA,NA
"Overall preferred from planting to boiled food","UG110164",NA,NA
"Preferred boiled food","UG110164","UGC14170",NA
"Preferred flour based meal",NA,NA,NA
"Stem quality",NA,NA,NA
"Taste of flour meal",NA,NA,NA
"Texture of flour meal",NA,NA,NA
